Name,OttoneuID,FG MajorLeagueID,FG MinorLeagueID,MLB Org,Position(s),Avg Salary,Median Salary,Min Salary,Max Salary,Last 10,Roster%,Team,POS,ADP,rPTS,PTS,aPOS,Dollars,Adjusted,Cost,PlayerId,value
Juan Soto,23717,20123.0,sa906282,NYY,OF,60.31,60.0,34,84,63.9,92.767,NYY,OF/DH,10.5699996948242,1132.53586509227,53.4293467229547,21.885622661012,76.3149693839668,112.280792822793,,20123,0.0
Mookie Betts,18276,13611.0,sa597889,LAD,2B/SS/OF,58.35,58.0,38,87,64.5,92.767,LAD,2B/SS/OF,5.03000020980835,1036.17215864658,40.095220947678,14.934803001757,56.030023949435,82.3089979885738,,13611,0.0
Shohei Ohtani,33600,19755.0,,LAD,Util/SP,56.13,56.0,32,88,57.2,91.509,LAD,P/DH,12.7299995422363,1038.27665314674,40.3864259603694,12.1782023409494,53.5646283013189,75.0492189062302,54.0,19755,-0.4353716987
Aaron Judge,18312,15640.0,sa549847,NYY,OF,54.17,54.5,33,70,54.7,95.597,NYY,OF/DH,11.1599998474121,1066.25522735714,44.2579024871124,21.885622661012,67.1435251481245,93.0704984385603,50.0,15640,17.14352515
Freddie Freeman,5680,5361.0,sa390291,LAD,1B,50.76,51.0,27,74,48.5,93.396,LAD,1B,8.8100004196167,1062.23587155342,43.7017325575892,13.8090861894163,58.5108187470055,81.6635609721681,47.0,5361,11.51081875
Fernando Tatis Jr.,23682,19709.0,sa919910,SDP,OF,47.27,48.0,23,76,54.6,95.283,SDP,OF,7.86999988555908,958.951614618301,29.4099901228479,21.885622661012,52.2956127838599,73.342860085499,52.0,19709,0.2956127839
Gerrit Cole,18116,13125.0,sa454389,NYY,SP,46.88,46.0,33,78,49.0,90.252,NYY,SP,13.4300003051757,971.103290367126,31.0914527688133,16.8711655158394,48.9626182846527,68.8428611217176,45.0,13125,3.962618285
Yordan Alvarez,23795,19556.0,sa943524,HOU,OF,45.29,46.0,21,67,50.7,96.855,HOU,OF/DH,16.6299991607666,1058.64557420611,43.2049326921064,21.885622661012,66.0905553531185,91.6883844840868,49.0,19556,17.09055535
Trea Turner,18368,16252.0,sa599179,PHI,SS,43.82,44.0,21,67,41.9,77.673,PHI,SS,12.369999885559,878.059387302398,18.2166978237353,14.934803001757,34.1515008254924,48.518735469727,41.0,16252,-6.848499175
Mike Trout,6305,10155.0,sa500736,LAA,OF,43.41,41.5,23,107,43.9,68.553,LAA,OF,71.1399993896484,845.853555810451,13.7602834365096,21.885622661012,36.6459060975217,53.6682108996981,,10155,0.0
Vladimir Guerrero Jr.,18549,19611.0,sa920245,TOR,1B,42.24,42.0,22,65,37.8,80.818,TOR,1B/DH,29.8999996185302,958.687844741344,29.37349151933,13.8090861894163,44.1825777087463,64.8039359620874,,19611,0.0
Bryce Harper,14982,11579.0,sa548033,PHI,1B,41.12,41.0,24,67,42.0,92.767,PHI,1B/DH,17.6800003051757,992.098256611824,33.9965871900619,13.8090861894163,48.8056733794783,68.6303060366728,41.0,11579,7.805673379
